"","COUNTRY","ID","DATE","Q1","Q13A","WT","Q1001","Q1002","Q2061A","Q1COVID19","Q2ACOVID19","Q2BCOVID19","Q12COVID19_3","Q12COVID19_4","Q12COVID19_5A","Q12COVID19_5B","Q5COVID19","Q10COVID19_5","Q13COVID19","Q14COVID19","Q15COVID19_1","Q15COVID19_2","Q16COVID19","Q101","Q102","Q112_1","Q112_2","Q118","Q601_1","Q601_4","Q601_19","Q601_18","Q601_20","Q620","Q619_1A","Q619_1B","Q619_3A","Q619_4A","Q619_5A","Q601A","Q201A_1","Q201A_2","Q201B_6","Q201B_13","QLIB1","Q204A_3","Q204A_1","Q204A_2","Q521_1","Q521_2","Q521_4","Q204_11","Q204_20","Q204_25","Q210","Q211","Q700B_1","Q700B_13","Q700B_23","Q700B_5","Q725_1","Q725_4","Q725_23","Q725_15","Q732B","Q730B","Q734A","Q734B","Q727_1","Q727_4","Q727_5","Q104","Q104A_1","Q104A_2","Q104A_3","Q104A_4","Q104A_5","Q104A_6","Q104A_7","Q104A_8","Q1003","Q1010","Q1010B1","Q1010B2","Q1014C","Q1005","Q1005B","Q1005C","Q1005D","Q1005E","Q1006A","Q1006B_CODE","Q1016","Q1012","Q1012A","Q1012B","Q609","Q602_1","Q602_2","Q602_3","Q602_4A","Q602_4B","Q1011D","Q1011E","Q1011F"
"14",1,1044,"2021-04-05",1036,3,0.80599939080181,27,1,2,1,3,NA,1,1,NA,1,97,1,4,2,5,2,1,3,5,2,2,4,2,3,1,3,2,1,2,1,2,2,4,NA,4,3,1,3,NA,4,4,4,2,1,2,3,4,3,1,4,2,1,1,2,2,2,2,5,2,5,NA,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,4,5,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,3,4,5,NA,1,1,1
"15",1,1046,"2021-04-05",1027,3,0.118391539528904,22,1,1,2,1,NA,1,1,NA,1,97,98,4,98,6,5,1,3,4,3,1,98,4,1,3,1,3,3,2,3,1,2,3,NA,3,3,1,2,NA,2,1,2,2,99,1,99,98,99,98,NA,1,2,2,1,98,98,98,98,99,99,NA,98,99,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,5,5,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,3,3,2,1,NA,1,2,2
"16",1,105,"2021-04-01",1039,3,0.146757259391326,24,2,1,4,NA,98,2,3,NA,3,97,2,1,2,98,NA,1,4,98,3,1,3,2,3,2,1,3,1,1,4,1,1,1,NA,4,1,1,1,NA,2,2,3,2,2,4,1,4,2,1,2,4,98,2,1,4,1,4,5,4,4,NA,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,6,5,NA,NA,NA,NA,NA,NA,4,1,NA,1,1,3,3,3,4,NA,1,1,1
"17",1,1056,"2021-04-05",1010,2,0.743079955865049,30,1,1,2,1,NA,3,1,NA,2,4,1,4,98,3,5,1,3,2,2,1,1,4,2,2,3,4,1,1,2,4,2,4,NA,4,4,1,4,NA,2,98,4,4,3,4,2,3,3,2,3,4,1,98,2,4,2,2,2,2,4,NA,4,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,NA,2,2,NA,NA,NA,NA,2,99,4,1,NA,1,1,2,3,3,5,NA,1,1,1
"18",1,1057,"2021-04-05",1026,3,0.112106219399481,21,1,2,1,1,NA,1,1,NA,98,97,2,2,98,7,2,1,2,2,1,2,1,3,4,2,4,2,2,1,1,2,1,3,NA,3,2,1,3,NA,2,2,3,3,4,3,3,3,3,3,2,4,2,4,2,2,5,5,4,4,5,NA,4,2,2,2,1,1,0,0,0,0,0,0,0,6,1,NA,NA,4,5,NA,NA,NA,NA,NA,NA,3,1,NA,1,1,1,2,5,4,NA,1,1,2
"19",1,1060,"2021-04-05",1030,1,0.600098909412855,25,2,15,1,1,NA,98,3,NA,1,97,1,4,3,7,99,1,4,3,3,2,4,1,3,4,4,3,4,1,1,3,1,3,NA,4,4,1,4,NA,98,3,4,4,4,4,3,4,2,1,4,98,4,1,2,2,2,2,2,1,4,NA,4,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,3,5,NA,NA,NA,NA,NA,NA,3,1,NA,1,2,3,3,5,3,NA,1,2,1
"20",1,1063,"2021-04-05",1024,3,0.294832364575807,32,1,15,4,NA,5,3,1,NA,2,97,1,4,2,6,2,1,2,1,3,3,1,3,2,1,2,2,3,1,1,4,1,1,NA,1,1,1,98,NA,3,2,2,2,1,2,1,2,2,3,1,4,2,2,4,98,98,1,4,3,5,NA,3,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,4,6,NA,1,NA,NA,NA,NA,4,1,NA,1,2,2,4,3,3,NA,1,1,1
"21",1,1068,"2021-04-05",1038,3,1.01302609533487,30,1,2,1,5,NA,3,1,NA,3,97,3,3,2,2,5,1,3,5,3,3,1,1,3,3,4,2,4,2,2,4,1,4,NA,3,3,1,3,NA,4,4,3,2,2,4,3,4,3,1,2,99,2,2,4,4,4,4,4,4,5,NA,4,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,4,6,NA,1,NA,NA,NA,NA,1,1,NA,1,3,3,4,2,1,NA,1,1,1
"22",1,1069,"2021-04-05",1021,3,2.52467094465863,25,1,1,2,3,NA,3,1,NA,98,4,2,4,97,1,4,1,4,3,2,98,1,4,3,1,1,1,3,1,4,4,4,2,NA,4,3,1,3,NA,2,3,2,2,3,1,3,4,4,1,3,3,1,2,4,2,5,2,5,4,4,NA,4,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,4,2,NA,NA,NA,NA,2,99,3,1,NA,1,2,3,5,98,3,NA,1,2,1
"23",1,1072,"2021-04-05",1022,3,0.451173391339629,20,1,1,2,4,NA,1,2,NA,2,97,1,3,97,1,3,1,1,1,2,3,4,1,4,3,2,3,3,4,2,4,1,1,NA,4,2,1,2,NA,2,3,3,1,1,2,3,3,3,1,2,3,4,2,98,98,98,98,4,2,5,NA,4,2,2,97,2,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,5,5,NA,NA,NA,NA,NA,NA,4,1,NA,1,1,1,5,1,5,NA,1,1,2
"24",1,1085,"2021-04-05",1043,3,2.64231283704905,36,1,1,1,4,NA,3,2,NA,1,2,3,3,1,6,5,1,3,4,2,3,1,3,4,98,2,2,3,4,2,2,1,1,NA,4,1,1,4,NA,2,2,2,4,2,4,2,4,4,1,4,3,2,1,4,2,5,98,2,2,5,NA,2,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,4,2,NA,NA,NA,NA,2,99,1,1,NA,1,1,3,4,98,3,NA,1,3,1
"25",1,1089,"2021-04-05",1017,3,0.151809393518773,20,1,15,4,NA,1,3,1,NA,3,97,2,1,2,2,7,1,3,1,98,2,5,4,4,2,3,2,1,1,1,4,3,4,NA,2,2,1,3,NA,1,98,2,1,1,1,2,2,3,1,2,2,2,2,1,2,2,2,2,2,2,NA,3,2,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,5,5,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,2,4,3,4,NA,1,1,1
"26",1,1095,"2021-04-05",1040,3,0.341801207362965,19,1,2,98,NA,NA,1,1,NA,2,97,1,3,3,7,5,1,4,5,3,3,2,4,4,1,2,2,3,4,1,2,4,98,NA,4,4,2,2,NA,1,2,2,1,2,4,98,3,1,98,NA,2,98,2,4,98,2,98,5,4,5,NA,4,4,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,3,5,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,2,5,2,2,NA,1,1,1
"27",1,1100,"2021-04-05",1003,2,4,61,1,1,2,4,NA,1,1,NA,2,97,1,4,4,5,3,1,4,3,98,3,3,2,4,2,3,4,4,1,1,4,1,4,NA,4,1,1,3,NA,3,2,2,4,4,4,4,4,4,1,4,4,1,2,4,2,98,4,5,3,5,NA,4,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,2,4,3,1,NA,NA,NA,NA,NA,2,1,NA,1,1,2,4,5,4,NA,1,1,1
"28",1,1102,"2021-04-05",1040,3,0.517617429849475,33,1,1,1,2,NA,3,3,NA,3,2,1,3,2,7,3,1,4,4,1,3,1,2,3,98,2,1,4,1,2,4,1,2,NA,4,1,1,3,NA,98,4,3,4,2,1,4,4,2,2,4,4,2,4,1,98,98,3,98,4,4,NA,3,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,5,2,NA,NA,NA,NA,2,1,3,1,NA,1,1,3,3,4,3,NA,1,2,1
"29",1,1104,"2021-04-05",1044,3,0.271759773730332,35,1,1,1,1,NA,3,1,NA,1,97,2,1,97,6,1,1,4,98,3,3,2,2,3,2,2,2,2,4,1,2,4,4,NA,2,2,1,2,NA,2,4,3,2,98,98,2,3,3,2,2,4,2,1,2,98,98,98,98,98,1,NA,98,1,1,98,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,3,2,NA,NA,NA,NA,2,19,1,1,NA,1,2,3,3,3,3,NA,1,1,1
"30",1,1110,"2021-04-06",1001,1,0.157066286064146,60,2,15,2,98,NA,98,1,NA,98,97,1,3,2,5,2,1,99,2,2,1,5,2,3,2,3,2,3,1,2,4,1,3,NA,3,3,1,2,NA,2,2,2,2,3,98,2,97,1,2,1,2,1,1,2,98,98,3,3,2,2,NA,4,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,4,3,1,NA,NA,NA,NA,NA,3,1,NA,3,1,3,3,3,3,NA,2,1,1
"31",1,1115,"2021-04-06",1016,1,0.418769316891414,60,1,15,2,3,NA,3,1,NA,3,4,98,1,2,3,99,1,3,1,3,3,3,3,4,4,3,3,4,2,1,4,1,2,NA,3,3,1,1,NA,2,3,3,2,2,1,2,4,1,2,2,4,2,1,2,5,98,98,4,4,5,NA,4,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,7,1,1,4,3,1,NA,NA,NA,NA,NA,2,1,NA,98,1,2,3,3,3,NA,2,1,1
"32",1,1118,"2021-04-06",1019,1,0.164676167844972,51,1,15,1,1,NA,3,1,NA,1,4,98,4,2,3,2,1,2,2,3,3,4,2,4,3,4,1,3,1,1,4,1,4,NA,2,2,2,2,NA,3,3,2,2,4,1,2,3,2,2,1,4,1,1,4,2,2,1,5,2,5,NA,4,2,2,2,1,1,0,0,0,0,0,0,0,7,4,1,1,5,1,NA,NA,NA,NA,1,16,3,1,NA,1,2,3,4,3,3,NA,98,2,1
"33",1,112,"2021-04-01",1047,3,0.868382068660134,28,1,15,2,1,NA,2,1,NA,3,4,1,98,1,5,7,1,2,2,1,1,4,3,3,3,3,3,3,2,2,2,2,1,NA,4,3,1,4,NA,2,3,3,3,2,2,3,4,3,1,3,98,2,4,4,4,5,2,5,3,4,NA,4,1,3,4,1,1,0,0,0,0,0,0,0,6,1,NA,NA,5,2,NA,NA,NA,NA,2,8,2,1,NA,3,1,3,4,3,4,NA,1,1,98
"34",1,1120,"2021-04-06",1008,1,0.228147563432996,51,2,1,2,6,NA,3,2,NA,3,2,1,4,97,3,8,1,3,1,3,3,2,2,4,3,4,3,3,1,1,2,1,2,NA,2,3,1,2,NA,2,3,2,1,1,2,2,3,1,2,1,4,4,2,4,98,4,98,4,98,2,NA,4,99,98,4,2,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,1,6,4,NA,NA,NA,3,NA,NA,2,1,NA,1,99,4,3,98,3,NA,1,2,1
"35",1,1125,"2021-04-06",1018,1,2.71363561505782,42,2,7,4,NA,3,3,1,NA,3,97,2,4,3,5,3,1,1,1,3,3,4,1,4,4,1,1,4,1,1,1,1,1,NA,1,1,1,1,NA,2,3,3,1,1,1,1,3,1,2,2,4,2,4,4,5,2,2,5,1,5,NA,4,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,4,4,NA,NA,NA,3,NA,NA,1,1,NA,12,1,98,98,98,98,NA,2,1,1
"36",1,1128,"2021-04-06",1007,1,0.0682552997146255,49,2,2,2,6,NA,3,3,NA,3,97,3,3,2,5,2,1,3,5,3,2,1,2,3,3,2,2,1,1,1,4,3,4,NA,4,4,3,3,NA,3,3,3,4,99,4,2,3,3,98,NA,98,2,98,98,4,2,2,4,98,5,NA,4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,1,5,4,NA,NA,NA,1,NA,NA,4,1,NA,1,2,98,4,5,4,NA,1,1,1
"37",1,113,"2021-04-01",1031,3,0.485692209314941,20,1,7,2,4,NA,1,1,NA,98,97,1,4,1,3,5,1,3,4,3,3,3,2,4,2,4,2,4,1,1,4,4,2,NA,4,3,1,2,NA,3,3,2,2,2,1,3,4,4,1,4,4,2,1,4,98,98,2,3,4,4,NA,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,7,5,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,3,3,3,3,NA,1,1,1
"38",1,1130,"2021-04-06",1039,2,1.02058714846896,34,1,15,2,6,NA,3,1,NA,3,4,2,2,2,6,4,1,2,4,1,3,3,4,3,3,4,2,3,1,2,3,4,3,NA,2,2,1,2,NA,2,3,3,2,2,2,2,3,2,2,3,4,2,2,4,4,4,4,5,4,5,NA,4,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,2,6,1,NA,NA,NA,NA,1,18,1,1,NA,1,1,3,3,3,2,NA,1,1,1
"39",1,1139,"2021-04-06",1015,1,0.337976320244067,60,1,15,4,NA,98,3,3,NA,2,4,3,4,97,8,5,1,4,98,99,3,1,3,2,3,2,2,1,1,1,1,4,4,NA,3,3,1,1,NA,98,3,2,1,1,1,1,1,1,1,1,98,1,98,4,98,1,98,5,2,3,NA,3,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,4,3,1,NA,NA,NA,NA,NA,1,1,NA,3,1,2,4,2,4,NA,2,1,1
"40",1,1140,"2021-04-06",1048,1,0.994519403876146,37,1,16,4,NA,5,1,1,NA,3,4,3,1,3,2,3,1,2,3,3,3,1,4,4,3,4,1,2,1,2,4,4,2,NA,1,2,1,1,NA,2,2,1,1,1,1,1,2,1,2,1,4,1,1,2,2,1,1,5,2,5,NA,4,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,3,1,NA,NA,NA,NA,2,20,3,1,NA,12,2,2,4,4,5,NA,1,2,2
"41",1,1142,"2021-04-06",1015,3,0.484187863623936,21,1,1,4,NA,7,3,1,NA,3,1,2,2,98,5,3,1,4,5,1,1,3,2,2,2,2,2,3,1,2,4,4,4,NA,4,4,1,3,NA,2,3,4,3,2,3,3,3,2,2,4,3,2,98,2,3,5,1,3,4,5,NA,98,5,2,1,1,0,0,0,0,0,0,0,1,3,1,NA,NA,5,6,NA,1,NA,NA,NA,NA,4,1,NA,3,1,3,3,3,3,NA,1,1,1
"42",1,1144,"2021-04-06",1010,1,0.221594254922766,32,1,1,3,NA,6,3,1,NA,1,3,2,2,4,6,4,1,3,4,3,3,5,2,4,1,4,2,3,3,2,3,4,4,NA,3,3,3,3,NA,3,4,3,3,4,3,2,3,2,1,4,2,2,2,2,98,98,2,2,2,5,NA,98,2,98,2,1,0,0,0,0,0,0,0,1,7,4,1,1,3,1,NA,NA,NA,NA,1,16,2,1,NA,3,2,3,3,3,3,NA,2,1,1
"43",1,1146,"2021-04-06",1016,1,0.305799450554416,61,2,2,4,NA,5,2,2,NA,3,4,1,4,3,2,5,1,3,1,3,1,2,2,1,4,4,2,2,1,1,2,1,4,NA,3,4,1,3,NA,2,4,4,1,2,3,1,3,1,1,1,4,1,1,2,2,2,1,5,4,2,NA,4,3,1,3,1,0,0,0,0,0,0,0,1,4,4,1,2,4,4,NA,NA,NA,1,NA,NA,2,1,NA,1,1,3,3,3,3,NA,2,1,1
"44",1,1151,"2021-04-06",1025,1,0.175431915819178,39,1,7,1,6,NA,2,1,NA,3,2,98,1,2,5,3,1,3,1,1,2,1,1,3,2,3,3,4,1,1,4,1,1,NA,1,1,1,1,NA,4,3,3,1,1,1,2,2,2,1,1,3,3,3,4,4,98,2,5,4,4,NA,4,2,2,2,1,1,0,0,0,0,0,0,0,7,4,1,1,5,1,NA,NA,NA,NA,2,99,1,1,NA,12,2,4,4,2,4,NA,1,2,2
"45",1,1152,"2021-04-06",1024,1,0.375862598551683,50,2,1,2,6,NA,2,2,NA,2,97,2,2,3,3,5,1,3,1,3,3,1,98,2,2,2,3,1,1,1,2,1,3,NA,3,4,1,3,NA,3,4,4,3,2,2,1,4,2,1,2,4,4,2,4,4,2,1,4,4,2,NA,4,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,9,6,NA,2,6,NA,NA,NA,2,1,NA,1,1,3,2,4,4,NA,2,1,1
"46",1,1158,"2021-04-06",1006,1,0.157779407556992,60,2,1,3,NA,5,1,1,NA,3,97,3,1,3,7,3,1,2,1,1,1,1,2,2,1,2,2,2,3,4,4,1,4,NA,2,2,1,2,NA,2,2,1,1,1,98,2,1,2,4,NA,2,1,4,3,2,2,98,98,1,2,NA,98,98,98,98,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,NA,6,3,1,NA,NA,NA,NA,NA,4,1,NA,1,1,3,98,98,4,NA,1,1,2
"47",1,1159,"2021-04-06",1016,1,0.77937714941527,42,2,1,1,6,NA,3,1,NA,3,2,1,4,2,3,7,1,3,4,3,3,1,4,4,2,3,1,1,1,1,4,1,1,NA,3,4,1,4,NA,3,3,2,2,98,2,2,3,2,2,98,3,1,2,4,2,98,4,5,2,7,NA,3,97,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,1,4,1,NA,NA,NA,NA,1,18,1,1,NA,12,2,3,3,4,3,NA,2,2,1
"48",1,1160,"2021-04-06",1031,1,0.485692209314941,23,1,1,4,NA,3,3,1,NA,3,1,2,4,97,2,5,1,4,5,1,2,3,4,2,1,1,2,1,2,1,2,1,4,NA,4,3,3,3,NA,3,3,3,2,2,2,3,3,3,1,4,2,2,2,4,98,98,98,5,98,5,NA,4,4,1,2,1,0,0,0,0,0,0,0,1,3,1,NA,NA,6,6,NA,1,NA,NA,NA,NA,2,1,NA,1,1,2,4,5,2,NA,1,2,1
"49",1,1161,"2021-04-06",1016,1,0.438090995707607,18,2,1,1,1,NA,3,3,NA,3,4,3,4,2,7,2,1,2,1,2,3,2,2,4,2,2,2,4,4,1,4,4,4,NA,2,2,1,4,NA,2,2,3,4,2,4,4,2,4,1,4,4,1,1,4,5,2,2,4,2,5,NA,4,4,4,4,1,1,0,0,0,0,0,0,0,4,1,NA,NA,5,5,NA,NA,NA,NA,NA,NA,1,1,NA,3,3,2,2,2,2,NA,2,1,1
"50",1,1162,"2021-04-06",1026,1,0.488373337347325,42,2,2,4,NA,4,1,1,NA,3,2,2,4,97,5,6,1,3,3,2,2,5,3,3,2,2,2,2,2,2,3,1,4,NA,1,3,1,1,NA,2,1,2,2,4,2,2,3,3,1,3,2,1,2,2,4,4,2,4,4,3,NA,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,9,1,NA,NA,NA,NA,2,20,2,1,NA,3,2,3,3,3,2,NA,2,2,1
"51",1,1163,"2021-04-06",1037,3,1.27414337410469,70,1,1,2,4,NA,98,1,NA,1,4,3,2,98,7,99,1,3,98,1,3,2,2,1,3,2,1,2,1,2,4,1,2,NA,4,4,1,4,NA,98,2,2,99,99,99,99,3,99,98,NA,4,4,3,4,98,98,98,98,98,5,NA,99,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,5,3,1,NA,NA,NA,NA,NA,3,1,NA,1,2,4,4,4,4,NA,2,1,1
